1239	3	666
1240	3	674
1240	3	707
1241	3	664
1242	3	685
1242	3	708
1243	3	664
1244	3	682
1245	3	699
1246	3	705
1247	3	670
1248	3	685
1249	3	668
1250	3	695
1251	3	682
1252	3	708
1253	3	682
1254	3	682
1255	3	666
1256	3	697
1257	3	685
1258	3	666
1259	3	689
1260	3	689
1261	3	698
1262	3	704
1263	3	698
1264	3	682
1265	3	709
1266	3	674
1266	3	689
1266	3	697
1266	3	698
1266	3	704
1266	3	705
1266	3	709
1266	3	710
1267	3	685
1267	3	705
1268	3	682
1269	3	689
1270	3	698
1271	3	666
1272	3	682
1273	3	689
1274	3	674
1275	3	698
1276	3	698
1277	3	682
1278	3	666
1279	3	682
1280	3	674
1281	3	704
1282	3	689
1283	3	682
1284	3	689
1285	3	682
1286	3	704
1287	3	674
1288	3	682
1289	3	674
1290	3	698
1291	3	666
1292	3	705
1293	3	704
1294	3	674
1295	3	683
1296	3	689
1297	3	682
1298	3	666
1299	3	708
1300	3	674
1301	3	689
1302	3	666
1302	3	673
1302	3	682
1302	3	685
1302	3	709
1302	3	712
1303	3	689
1304	3	708
1305	3	674
1305	3	689
1305	3	698
1305	3	701
1305	3	705
1305	3	707
1305	3	717
1306	3	682
1307	3	710
1308	3	682
1309	3	666
1310	3	689
1311	3	698
1312	3	716
1313	3	698
1314	3	682
1315	3	674
1316	3	666
1317	3	674
1318	3	666
1318	3	707
1319	3	664
1320	3	705
1321	3	666
1321	3	674
1321	3	707
1322	3	666
1322	3	668
1322	3	679
1322	3	685
1322	3	698
1322	3	705
1322	3	708
1323	3	671
1324	3	664
1324	3	682
1325	3	712
1326	3	674
1327	3	674
1328	3	712
1329	3	705
1330	3	705
1331	3	716
1332	3	674
1333	3	698
1334	3	674
1334	3	689
1335	3	701
1336	3	674
1336	3	677
1336	3	682
1336	3	685
1336	3	715
1337	3	698
1338	3	679
1339	3	666
1340	3	689
1340	3	712
1341	3	674
1342	3	662
1342	3	673
1342	3	674
1342	3	677
1342	3	680
1342	3	681
1342	3	682
1342	3	685
1342	3	689
1342	3	697
1342	3	698
1342	3	705
1343	3	664
1343	3	666
1343	3	668
1343	3	673
1343	3	682
1343	3	689
1343	3	698
1343	3	705
1343	3	706
1343	3	708
1343	3	712
1344	3	662
1344	3	666
1344	3	685
1344	3	709
1345	3	668
1345	3	689
1346	3	664
1346	3	666
1346	3	668
1346	3	674
1346	3	679
1346	3	681
1346	3	682
1346	3	685
1346	3	689
1346	3	698
1346	3	700
1346	3	701
1346	3	704
1346	3	705
1346	3	707
1346	3	708
1346	3	712
1346	3	720
1347	3	685
1348	3	712
1349	3	689
1350	3	678
1350	3	708
1351	3	707
1352	3	664
1353	3	685
1354	3	707
1355	3	706
1356	3	666
1357	3	689
1358	3	706
1359	3	682
1360	3	666
1361	3	674
1362	3	689
1362	3	692
1362	3	698
1363	3	682
1364	3	698
1365	3	674
1366	3	664
1366	3	670
1366	3	674
1366	3	681
1366	3	685
1366	3	708
1366	3	715
1367	3	674
1368	3	712
1369	3	712
1370	3	682
1371	3	674
1372	3	689
1373	3	666
1373	3	673
1373	3	682
1373	3	689
1373	3	709
1373	3	715
1374	3	689
1375	3	666
1375	3	674
1375	3	689
1375	3	707
1375	3	712
1376	3	664
1377	3	689
1378	3	696
1379	3	666
1380	3	670
1381	3	697
